,Foundation,1stFlrSF,KitchenQual,Fireplaces,HeatingQC,FullBath,BsmtQual,OpenPorchSF,GarageYrBlt,ExterQual,OverallQual,BsmtFinType1,YearBuilt,GarageArea,TotRmsAbvGrd,GarageCars,GrLivArea,YearRemodAdd,LotFrontage,Fence,SalePrice
29,BrkTil,520,Fa,0,Fa,1,TA,0,1920.0,TA,4,Unf,1927,240,4,1,520,1950,60.0,,68500
30,BrkTil,649,TA,0,TA,1,TA,54,1920.0,TA,4,Unf,1920,250,6,1,1317,1950,50.0,MnPrv,40000
31,CBlock,1228,Gd,0,Gd,1,TA,65,1966.0,TA,5,Unf,1966,271,6,1,1228,2006,,MnPrv,149350
32,PConc,1234,Gd,0,Ex,2,Ex,30,2007.0,Gd,8,Unf,2007,484,7,2,1234,2007,85.0,,179900
33,CBlock,1700,Gd,1,Gd,1,TA,38,1959.0,TA,5,Rec,1959,447,6,2,1700,1959,70.0,,165500
34,PConc,1561,Ex,1,Ex,2,Ex,47,2005.0,Ex,9,GLQ,2005,556,6,2,1561,2005,60.0,,277500
35,PConc,1132,Gd,1,Ex,3,Ex,32,2004.0,Gd,8,Unf,2004,691,9,3,2452,2005,108.0,,309000
36,PConc,1097,TA,0,Ex,1,Gd,64,1995.0,TA,5,Unf,1994,672,6,2,1097,1995,112.0,,145000
37,CBlock,1297,TA,1,Gd,1,TA,0,1954.0,TA,5,Rec,1954,498,5,2,1297,1990,74.0,,153000
38,CBlock,1057,Gd,0,TA,1,TA,52,1953.0,TA,5,GLQ,1953,246,5,1,1057,2007,68.0,,109000
39,PConc,1152,Fa,0,TA,2,,0,,TA,4,,1955,0,6,0,1152,1955,65.0,,82000
40,CBlock,1324,TA,1,Ex,2,TA,138,1965.0,TA,6,Rec,1965,440,6,2,1324,1965,84.0,GdWo,160000
41,CBlock,1328,TA,2,Gd,1,TA,104,1959.0,TA,5,BLQ,1959,308,5,1,1328,1959,115.0,,170000
42,CBlock,884,Gd,0,Gd,1,Gd,0,1983.0,TA,5,ALQ,1983,504,5,2,884,1983,,MnPrv,144000
43,CBlock,938,TA,0,TA,1,Gd,0,1977.0,TA,5,LwQ,1975,308,5,1,938,1980,,MnPrv,130250
44,CBlock,1150,TA,0,Ex,1,TA,0,1959.0,TA,5,ALQ,1959,300,6,1,1150,1959,70.0,,141000
45,PConc,1752,Ex,1,Ex,2,Ex,82,2005.0,Ex,9,GLQ,2005,576,6,2,1752,2005,61.0,,319900
46,PConc,1518,Gd,1,Ex,1,Ex,43,2003.0,Gd,7,GLQ,2003,670,6,2,2149,2003,48.0,,239686
47,PConc,1656,Gd,0,Ex,2,Gd,146,2006.0,Gd,8,GLQ,2006,826,7,3,1656,2006,84.0,,249700
48,BrkTil,736,TA,0,Gd,2,TA,0,,TA,4,Unf,1920,0,8,0,1452,2008,33.0,,113000
49,CBlock,955,TA,0,Ex,1,TA,0,1966.0,TA,5,BLQ,1966,386,6,1,955,1966,66.0,MnPrv,127000
50,PConc,794,TA,0,Gd,2,Gd,75,1997.0,TA,6,GLQ,1997,388,6,2,1470,1997,,,177000
51,PConc,816,TA,1,TA,1,TA,0,1985.0,TA,6,Unf,1934,528,6,2,1176,1950,52.0,MnPrv,114500
52,CBlock,816,TA,0,TA,1,Gd,0,1963.0,Fa,5,LwQ,1963,516,5,2,816,1963,110.0,,110000
53,CBlock,1842,Gd,1,Gd,0,Ex,72,1981.0,Gd,9,GLQ,1981,894,5,3,1842,1987,68.0,,385000
54,CBlock,1360,TA,1,TA,1,TA,50,1962.0,TA,5,ALQ,1955,572,6,2,1360,1955,60.0,MnPrv,130000
55,CBlock,1425,TA,1,Gd,2,TA,0,1964.0,TA,6,BLQ,1964,576,7,2,1425,1964,100.0,,180500
56,PConc,983,Gd,0,Ex,2,Gd,0,1999.0,Gd,8,GLQ,1999,480,7,2,1739,2000,24.0,,172500
57,PConc,860,Gd,0,Ex,2,Gd,70,2004.0,Gd,7,Unf,2004,565,7,2,1720,2004,89.0,,196500
58,PConc,1426,Gd,1,Ex,3,Ex,0,2006.0,Ex,10,Unf,2006,641,10,3,2945,2006,66.0,,438780
59,CBlock,780,TA,0,Ex,1,TA,0,1973.0,TA,5,ALQ,1972,352,4,1,780,1972,60.0,MnPrv,124900
60,PConc,1158,Gd,0,Ex,1,Gd,50,2006.0,TA,6,ALQ,2004,576,5,2,1158,2004,63.0,,158000
61,BrkTil,581,Fa,0,TA,1,TA,0,1935.0,TA,5,Unf,1920,288,6,1,1111,1996,60.0,,101000
62,PConc,1370,Gd,1,Ex,2,Gd,49,2006.0,Gd,8,GLQ,2006,484,6,2,1370,2006,44.0,,202500
63,BrkTil,902,TA,0,Gd,2,TA,11,1990.0,TA,7,Unf,1921,480,9,2,1710,1950,50.0,GdPrv,140000
64,PConc,1057,Gd,0,Ex,2,Gd,36,1998.0,TA,7,GLQ,1997,645,8,2,2034,1998,,GdPrv,219500
65,PConc,1143,Gd,1,Ex,2,Ex,151,2004.0,Gd,8,Unf,2004,852,9,3,2473,2005,76.0,,317000
66,CBlock,2207,TA,1,TA,2,Gd,0,1970.0,TA,7,GLQ,1970,576,7,2,2207,1989,,,180000
67,PConc,1479,Gd,0,Ex,2,Gd,29,2003.0,Gd,7,GLQ,2003,558,7,2,1479,2003,72.0,,226000
68,CBlock,747,TA,0,TA,1,TA,0,1945.0,TA,4,Unf,1945,220,4,1,747,1950,47.0,,80000
69,CBlock,1304,TA,1,TA,2,TA,21,1953.0,Gd,7,BLQ,1953,667,7,2,2287,1953,81.0,,225000
70,CBlock,2223,TA,2,Ex,2,Gd,0,1973.0,TA,7,ALQ,1973,516,8,2,2223,1973,95.0,,244000
71,CBlock,845,TA,0,TA,1,TA,0,1987.0,TA,4,ALQ,1982,360,4,2,845,2006,69.0,,129500
72,PConc,885,TA,1,Gd,2,Gd,94,1998.0,TA,7,Unf,1998,427,7,2,1718,1998,74.0,,185000
73,CBlock,1086,TA,0,Gd,1,TA,0,1989.0,TA,5,ALQ,1954,490,6,2,1086,2003,85.0,GdWo,144900
74,CBlock,840,TA,0,Gd,2,Fa,0,1915.0,Gd,3,Unf,1915,379,8,1,1605,1950,60.0,,107400
75,CBlock,526,TA,0,TA,1,Gd,101,1973.0,TA,4,GLQ,1973,297,5,1,988,1973,21.0,GdWo,91000
76,CBlock,952,TA,0,Ex,1,TA,0,1956.0,TA,4,ALQ,1956,283,4,1,952,1956,,,135750
77,CBlock,1072,TA,0,TA,1,TA,0,1948.0,TA,5,BLQ,1948,240,6,1,1285,2001,50.0,MnPrv,127000
78,CBlock,1768,TA,0,TA,2,TA,0,,TA,4,Unf,1968,0,8,0,1768,1968,72.0,,136500
79,PConc,682,TA,0,Gd,1,TA,0,1966.0,TA,5,Unf,1910,440,5,2,1230,1981,60.0,MnPrv,110000
80,CBlock,1182,Gd,1,TA,2,Gd,72,1968.0,TA,6,Rec,1968,509,8,1,2142,1968,100.0,,193500
81,PConc,1337,TA,0,Ex,2,Ex,199,1998.0,TA,6,GLQ,1998,405,5,2,1337,1998,32.0,,153500
82,PConc,1563,Gd,1,Ex,2,Gd,99,2007.0,TA,8,GLQ,2007,758,6,3,1563,2007,78.0,,245000
83,CBlock,1065,TA,0,Gd,1,TA,0,1974.0,TA,5,Unf,1960,461,6,2,1065,1960,80.0,,126500
84,PConc,804,TA,1,Gd,2,Gd,72,1995.0,TA,7,Unf,1995,400,7,2,1474,1996,,,168500
85,CBlock,1301,Gd,1,Ex,2,Gd,82,1991.0,Gd,8,Unf,1991,462,9,2,2417,1992,121.0,,260000
86,PConc,684,Gd,1,Ex,2,Gd,38,2005.0,Gd,6,Unf,2005,400,6,2,1560,2005,122.0,,174000
87,PConc,612,Gd,0,Ex,2,Gd,234,2009.0,Gd,6,Unf,2009,528,4,2,1224,2009,40.0,,164500
88,CBlock,1013,Fa,0,TA,1,TA,0,,Fa,3,Unf,1915,0,6,0,1526,1982,105.0,MnPrv,85000
89,PConc,990,TA,0,Ex,1,Gd,0,,TA,4,GLQ,1994,0,5,0,990,1995,60.0,,123600
90,Slab,1040,TA,0,TA,1,,29,1950.0,TA,4,,1950,420,4,2,1040,1950,60.0,,109900
91,CBlock,1235,TA,0,TA,1,TA,0,1961.0,TA,5,Rec,1961,480,6,2,1235,1961,85.0,GdWo,98600
92,BrkTil,964,TA,0,Ex,1,Gd,0,1921.0,TA,5,ALQ,1921,432,5,2,964,2006,80.0,,163500
93,BrkTil,1260,TA,1,Ex,2,TA,0,1900.0,TA,6,Rec,1910,506,9,2,2291,1998,60.0,,133900
94,PConc,905,Gd,0,Ex,2,Gd,162,1997.0,TA,6,GLQ,1997,684,7,2,1786,1997,69.0,,204750
95,PConc,680,TA,1,Gd,2,Gd,63,1993.0,Ex,6,ALQ,1993,420,6,2,1470,1993,,,185000
96,PConc,1588,Gd,0,Ex,2,Gd,29,1999.0,Gd,7,ALQ,1999,472,6,2,1588,1999,78.0,,214000
97,CBlock,960,TA,0,TA,1,TA,0,1965.0,TA,4,Rec,1965,432,6,1,960,1965,73.0,,94750
98,BrkTil,835,TA,0,Fa,1,TA,0,1920.0,TA,5,ALQ,1920,366,5,1,835,1950,85.0,,83000
99,CBlock,1225,TA,0,Fa,1,TA,0,,TA,4,ALQ,1959,0,6,0,1225,1959,77.0,,128950
100,PConc,1610,Gd,2,Gd,2,TA,68,1977.0,TA,6,ALQ,1977,480,6,2,1610,2001,,,205000
101,CBlock,977,Gd,1,TA,2,Gd,46,1985.0,Gd,6,Unf,1985,476,7,2,1732,1985,77.0,,178000
102,Slab,1535,TA,0,TA,2,,0,1979.0,TA,5,,1979,410,8,2,1535,1979,64.0,,118964
103,PConc,1226,Gd,0,Ex,2,Gd,36,2009.0,TA,7,Unf,2009,740,6,3,1226,2009,94.0,,198900
104,PConc,1226,TA,2,Ex,1,TA,0,1951.0,TA,7,LwQ,1931,240,7,1,1818,1950,,,169500
105,PConc,1053,Gd,1,Ex,2,Ex,45,2003.0,Gd,8,Unf,2003,648,9,2,1992,2004,75.0,,250000
106,BrkTil,1047,TA,0,Gd,1,Fa,0,1954.0,TA,4,Unf,1885,273,6,1,1047,1995,60.0,,100000
107,CBlock,789,TA,0,Ex,1,TA,0,1948.0,TA,5,ALQ,1948,250,5,1,789,1950,50.0,,115000
108,CBlock,997,Fa,0,TA,2,TA,0,,TA,5,Unf,1919,0,7,0,1517,2005,85.0,,115000
109,CBlock,1844,TA,1,Ex,2,Gd,122,1977.0,TA,6,BLQ,1977,546,7,2,1844,1977,105.0,MnPrv,190000
110,CBlock,1216,TA,0,Gd,2,TA,0,1954.0,TA,6,Rec,1954,325,7,1,1855,1972,75.0,,136900
111,PConc,774,TA,1,Ex,2,Gd,0,2000.0,TA,7,GLQ,2000,400,7,2,1430,2000,,,180000
112,PConc,1282,Ex,1,Ex,2,Ex,184,2007.0,Gd,7,GLQ,2007,792,10,3,2696,2007,77.0,,383970
113,CBlock,2259,Gd,2,TA,2,Gd,120,1953.0,TA,6,ALQ,1953,450,7,2,2259,1953,,MnPrv,217000
114,CBlock,1436,Gd,1,Ex,2,TA,0,1945.0,TA,6,ALQ,1945,180,9,1,2320,2002,61.0,MnPrv,259500
115,PConc,729,TA,1,Gd,2,Gd,32,1999.0,TA,6,GLQ,1999,440,5,2,1458,1999,34.0,,176000
116,CBlock,1092,TA,1,TA,1,TA,20,1962.0,TA,5,LwQ,1962,288,6,1,1092,1962,,,139000
117,PConc,1125,TA,0,Gd,1,Gd,64,2007.0,TA,5,Unf,2006,430,5,2,1125,2007,74.0,,155000
118,PConc,1699,Gd,2,Gd,3,Gd,0,1990.0,TA,7,GLQ,1990,594,11,3,3222,1990,90.0,,320000
119,PConc,728,Gd,1,Ex,2,Gd,24,2005.0,Gd,6,Unf,2005,390,8,2,1456,2006,65.0,,163990
120,CBlock,988,TA,2,Ex,1,TA,130,1969.0,TA,6,ALQ,1969,540,4,2,988,1969,,,180000
121,PConc,772,TA,0,Gd,1,TA,0,1979.0,TA,4,Unf,1939,264,4,1,1123,1950,50.0,MnPrv,100000
122,CBlock,1080,TA,0,Gd,1,TA,0,1958.0,TA,6,BLQ,1958,288,5,1,1080,1958,75.0,,136000
123,PConc,1199,Gd,0,Ex,2,Gd,63,1993.0,Gd,6,GLQ,1993,530,5,2,1199,1993,55.0,,153900
124,CBlock,1586,TA,1,TA,2,Gd,0,1979.0,TA,6,Unf,1979,435,7,2,1586,1998,48.0,,181000
125,CBlock,520,TA,0,Gd,1,TA,0,,TA,6,GLQ,1935,0,5,0,754,1982,60.0,,84500
126,CBlock,958,TA,1,TA,2,Gd,205,1977.0,TA,6,ALQ,1976,440,5,2,958,1976,,,128000
127,BrkTil,840,TA,1,Ex,1,TA,0,,TA,5,LwQ,1930,0,5,0,840,1950,55.0,,87000
128,CBlock,660,TA,1,TA,1,TA,108,1966.0,TA,6,BLQ,1966,453,6,2,1348,1966,69.0,,155000
129,CBlock,1053,Ex,0,TA,1,TA,80,1998.0,TA,5,Rec,1958,750,6,2,1053,1991,69.0,MnWw,150000
130,CBlock,1216,Gd,2,Ex,2,TA,66,1966.0,TA,7,Rec,1966,487,8,2,2157,1966,88.0,GdPrv,226000
131,PConc,1022,Gd,1,Ex,2,Gd,48,2000.0,Gd,6,GLQ,2000,390,7,2,2054,2000,,,244000
132,CBlock,1327,Gd,0,Gd,1,TA,0,1974.0,TA,5,Rec,1959,624,7,2,1327,2002,75.0,,150750
133,PConc,1296,Gd,0,Ex,2,Ex,25,2001.0,Gd,8,GLQ,2001,471,6,2,1296,2002,,,220000
134,CBlock,1721,TA,1,Gd,2,TA,96,1968.0,TA,5,Rec,1968,440,7,2,1721,1993,78.0,MnPrv,180000
135,PConc,1682,TA,1,Gd,2,TA,0,1970.0,TA,7,Unf,1970,530,7,2,1682,1970,80.0,MnPrv,174000
136,CBlock,1214,TA,1,TA,2,TA,111,1967.0,TA,5,BLQ,1967,318,5,1,1214,1967,,,143000
137,CBlock,1959,TA,0,Gd,3,TA,0,1989.0,TA,7,Unf,1988,766,9,3,1959,1989,82.0,,171000
138,PConc,1004,Gd,2,Ex,2,Gd,106,1999.0,Gd,8,GLQ,1999,660,7,3,1852,2000,73.0,GdPrv,230000
139,PConc,928,Gd,0,Ex,2,Gd,99,1997.0,TA,6,GLQ,1997,470,7,2,1764,1997,65.0,MnPrv,231500
140,CBlock,864,TA,1,TA,1,TA,0,,TA,4,ALQ,1971,0,5,0,864,1971,70.0,,115000
141,PConc,1734,Gd,0,Ex,2,Gd,24,2005.0,Gd,7,GLQ,2005,660,7,2,1734,2005,78.0,,260000
142,CBlock,910,TA,0,Fa,2,TA,0,2000.0,TA,5,Rec,1952,720,6,2,1385,1952,71.0,MnPrv,166000
143,PConc,1501,Gd,0,Ex,2,Gd,29,1999.0,Gd,7,GLQ,1999,577,6,2,1501,1999,78.0,,204000
144,CBlock,1728,TA,0,TA,2,TA,0,1963.0,TA,5,Rec,1963,504,10,2,1728,1963,70.0,,125000
145,PConc,970,Gd,0,Ex,2,Gd,40,2004.0,Gd,6,Unf,2004,380,7,2,1709,2006,24.0,,130000
146,BrkTil,875,TA,0,TA,1,TA,0,1931.0,TA,5,BLQ,1931,180,5,1,875,1993,51.0,,105000
147,PConc,884,Gd,1,Ex,2,Gd,48,2001.0,Gd,7,Unf,2001,434,8,2,2035,2001,,,222500
148,PConc,1080,Gd,0,Ex,1,Gd,0,,TA,7,GLQ,2004,0,6,0,1080,2005,63.0,,141000
149,BrkTil,896,TA,0,Gd,1,Gd,114,1936.0,TA,5,Unf,1936,240,7,1,1344,1950,,,115000
150,CBlock,969,TA,0,TA,1,TA,0,1975.0,TA,5,BLQ,1975,440,5,2,969,1975,120.0,MnPrv,122000
151,PConc,1710,Gd,1,Ex,2,Ex,102,2007.0,Gd,8,GLQ,2007,866,6,3,1710,2008,107.0,,372402
152,CBlock,1097,TA,1,Gd,2,TA,66,1971.0,TA,6,Rec,1971,495,8,2,1993,1971,,GdWo,190000
153,CBlock,1252,TA,1,Gd,1,Gd,0,1960.0,TA,6,BLQ,1960,564,4,2,1252,1975,,,235000
154,BrkTil,1200,TA,0,TA,1,TA,0,1923.0,TA,6,Unf,1923,312,7,1,1200,1950,84.0,,125000
155,BrkTil,572,TA,0,Fa,1,TA,8,,TA,6,Unf,1924,0,5,0,1096,1950,60.0,,79000
156,CBlock,1040,TA,0,TA,1,,0,1950.0,TA,5,,1950,625,5,2,1040,1950,60.0,,109500
157,PConc,774,Ex,1,Ex,2,Ex,75,2009.0,Gd,8,Unf,2009,680,8,3,1968,2010,92.0,,269500
158,PConc,991,Gd,1,Ex,2,Gd,136,2004.0,Gd,7,GLQ,2004,678,8,2,1947,2005,100.0,GdWo,254900
159,PConc,1392,Gd,1,Ex,2,Gd,132,2006.0,Gd,7,GLQ,2005,576,9,2,2462,2006,134.0,,320000
160,PConc,1232,TA,0,TA,2,Gd,0,1984.0,TA,6,BLQ,1984,516,6,2,1232,1984,,,162500
161,PConc,1572,Ex,2,Ex,2,Ex,0,2003.0,Gd,9,GLQ,2003,726,10,3,2668,2004,110.0,,412500
162,PConc,1541,Gd,1,Ex,2,Gd,70,2005.0,Gd,7,BLQ,2005,532,7,2,1541,2005,95.0,,220000
163,CBlock,882,TA,0,Ex,1,TA,0,,TA,4,Unf,1956,0,4,0,882,1956,55.0,MnPrv,103200
164,BrkTil,1149,Gd,0,Gd,2,TA,0,1926.0,TA,6,LwQ,1926,216,5,1,1616,2004,40.0,,152000
165,BrkTil,808,TA,0,Gd,2,TA,0,,TA,5,ALQ,1940,0,6,0,1355,1999,62.0,,127500
166,CBlock,1867,TA,3,Ex,1,TA,0,1955.0,Gd,5,LwQ,1955,303,7,1,1867,1993,,GdWo,190000
167,PConc,1610,Ex,1,Ex,1,Ex,120,2007.0,Gd,8,GLQ,2007,789,8,3,2161,2007,86.0,,325624
168,PConc,840,Gd,1,Ex,2,Gd,48,2004.0,Gd,7,Unf,2004,440,7,2,1720,2004,62.0,,183500
169,CBlock,1707,TA,1,TA,2,Gd,64,1981.0,Gd,8,Unf,1981,511,6,2,1707,1981,,,228000
170,CBlock,854,TA,0,TA,1,TA,0,1991.0,TA,5,Rec,1941,660,7,2,1382,1950,,,128500
171,CBlock,1656,TA,2,Fa,1,TA,62,1960.0,TA,6,BLQ,1960,528,7,2,1656,1960,141.0,,215000
172,PConc,1064,Gd,1,Gd,2,Gd,35,1987.0,Gd,7,GLQ,1987,504,5,2,1767,1987,44.0,,239000
173,CBlock,1362,TA,1,TA,1,TA,20,1961.0,TA,6,ALQ,1961,504,6,2,1362,1961,80.0,,163000
174,CBlock,1651,TA,1,TA,2,Gd,0,1986.0,TA,6,ALQ,1986,616,7,2,1651,1986,47.0,,184000
175,CBlock,2158,Gd,1,TA,2,TA,29,1950.0,TA,6,ALQ,1950,576,7,2,2158,2001,84.0,MnPrv,243000
176,PConc,1164,TA,1,TA,2,Gd,228,1988.0,Gd,6,GLQ,1988,521,8,2,2060,1989,97.0,,211000
177,CBlock,1252,Gd,1,Ex,2,TA,0,1958.0,Gd,5,ALQ,1958,451,8,2,1920,1958,,,172500
178,PConc,2234,Ex,1,Ex,2,Ex,60,2009.0,Ex,9,GLQ,2008,1166,9,3,2234,2009,63.0,,501837
179,CBlock,968,TA,0,TA,1,TA,0,1935.0,Gd,5,Unf,1923,480,5,2,968,2006,60.0,,100000
180,PConc,769,Gd,1,Ex,2,Gd,0,2000.0,Gd,6,GLQ,2000,440,5,2,1525,2000,,,177000
181,BrkTil,901,TA,1,Gd,1,Fa,0,1920.0,TA,7,LwQ,1920,216,9,1,1802,1950,54.0,,200100
182,PConc,1340,TA,1,Ex,1,,0,1957.0,TA,5,,1957,252,7,1,1340,2006,60.0,MnPrv,120000
183,PConc,1362,Gd,0,Ex,2,Gd,238,2003.0,TA,7,Unf,2003,484,6,2,2082,2003,63.0,,200000
184,PConc,936,TA,0,Gd,1,Fa,0,1986.0,TA,5,Unf,1908,576,5,2,1252,1991,92.0,MnPrv,127000
185,BrkTil,1518,Ex,2,Ex,2,TA,260,1993.0,Gd,10,Unf,1892,840,12,3,3608,1993,90.0,GdPrv,475000
186,PConc,1217,Gd,0,Ex,2,Gd,27,1990.0,TA,7,GLQ,1990,497,6,2,1217,1991,,GdPrv,173000
187,CBlock,808,TA,0,Ex,2,Fa,0,1916.0,TA,5,Unf,1916,180,8,1,1656,1987,60.0,MnPrv,135000
188,CBlock,1224,TA,2,TA,0,Gd,0,1979.0,TA,5,GLQ,1979,528,6,2,1224,1979,64.0,,153337
189,PConc,1593,Ex,1,Ex,1,Ex,120,2001.0,Gd,8,GLQ,2001,682,5,2,1593,2002,41.0,,286000
190,CBlock,1549,Gd,2,TA,2,Gd,74,1932.0,Gd,8,Rec,1932,440,10,2,2727,1994,70.0,,315000
191,CBlock,725,Gd,0,Gd,1,TA,32,1972.0,TA,7,ALQ,1972,484,7,2,1479,2004,,,184000
192,PConc,1431,Gd,0,Ex,2,Gd,35,1999.0,Gd,7,GLQ,1999,666,6,2,1431,1999,68.0,,192000
193,PConc,970,Gd,0,Ex,2,Gd,40,2004.0,Gd,7,Unf,2004,380,7,2,1709,2004,24.0,,130000
194,CBlock,864,TA,0,TA,1,TA,0,1989.0,TA,5,ALQ,1972,352,5,1,864,1972,60.0,,127000
195,CBlock,855,TA,1,TA,2,Gd,0,1976.0,TA,6,ALQ,1976,440,7,2,1456,1976,24.0,,148500
196,PConc,1726,Ex,1,Ex,2,Ex,138,2007.0,Ex,7,GLQ,2007,786,8,3,1726,2007,79.0,,311872
197,PConc,1360,Gd,1,Gd,2,TA,16,1918.0,Gd,8,GLQ,1918,795,8,2,3112,1990,174.0,GdPrv,235000
198,CBlock,929,TA,0,Ex,1,TA,198,,TA,6,Unf,1912,0,8,0,2229,1950,92.0,MnPrv,104000
199,PConc,1713,Ex,1,Ex,2,Ex,26,2004.0,Gd,8,GLQ,2004,856,7,3,1713,2005,76.0,,274900
200,PConc,1121,TA,0,Ex,2,Gd,64,2003.0,TA,4,Unf,2003,440,5,2,1121,2004,80.0,,140000
201,CBlock,1279,TA,2,TA,2,TA,83,1980.0,TA,6,ALQ,1977,473,6,2,1279,1977,75.0,MnPrv,171500
202,BrkTil,865,TA,0,Gd,2,Fa,0,1924.0,TA,6,LwQ,1924,398,6,1,1310,1950,50.0,,112000
203,PConc,848,Gd,1,Ex,1,Gd,0,2004.0,Gd,6,GLQ,2004,420,3,2,848,2004,,,149000
204,CBlock,720,TA,0,TA,1,TA,35,1948.0,TA,5,LwQ,1947,240,5,1,1284,1950,50.0,MnWw,110000
205,PConc,1442,TA,0,Ex,2,Gd,34,1990.0,TA,7,Unf,1990,500,5,2,1442,1990,99.0,,180500
206,CBlock,1696,TA,1,TA,1,TA,30,1962.0,TA,5,Unf,1962,349,8,1,1696,1962,40.0,,143900
207,PConc,1100,TA,1,TA,1,TA,0,1960.0,TA,4,ALQ,1960,312,6,1,1100,1960,,GdWo,141000
208,CBlock,1180,TA,1,Ex,2,Gd,55,1988.0,Gd,7,GLQ,1988,454,7,2,2062,1989,,,277000
209,CBlock,1092,TA,0,Ex,1,Gd,0,1964.0,TA,6,Rec,1964,504,6,2,1092,1964,75.0,MnPrv,145000
210,CBlock,864,TA,0,TA,1,TA,0,,TA,5,Rec,1925,0,5,0,864,1950,67.0,,98000
211,PConc,1212,Gd,0,Ex,2,Gd,22,2009.0,TA,6,GLQ,2009,460,6,2,1212,2009,83.0,,186000
212,PConc,932,Gd,1,Ex,2,Gd,108,2009.0,TA,7,GLQ,2009,644,7,2,1852,2009,72.0,,252678
213,PConc,990,TA,0,Ex,1,Gd,0,1996.0,TA,5,ALQ,1995,576,5,2,990,1995,43.0,,156000
